Name,Protein,Carbs,Fat,Fiber,Sugar,Water,Sodium,Calcium,Iron,Potassium,Cholesterol,Calories
100 GRAND Bar,2.5,70.97,19.33,1.0,51.9,6.1,203,76,0.34,163,12,467.85
3 MUSKETEERS Bar,2.6,77.77,12.75,1.5,66.89,5.8,194,54,0.67,133,5,436.23
3 Musketeers Truffle Crisp Bar,6.41,63.15,28.85,0.0,57.69,0.18,63,150,1.88,296,18,537.89
"Abalone, cooked, NS as to cooking method",20.38,7.26,4.59,0.0,0.03,65.11,664,37,3.81,299,101,151.87
"Abalone, floured or breaded, fried",18.24,15.53,11.38,0.6,0.91,52.37,610,59,3.69,263,111,237.5
"Abalone, steamed or poached",34.05,11.97,1.51,0.0,0.0,48.47,939,62,5.72,448,169,197.67
"Adobo, with noodles",16.89,8.16,7.66,0.4,0.03,65.25,510,15,0.99,200,72,169.14
"Adobo, with rice",17.68,8.88,7.94,0.2,0.03,63.32,522,18,1.34,216,75,177.7
Agave liquid sweetener,0.09,76.37,0.45,0.2,68.03,22.94,4,1,0.09,4,0,309.89
"Air filled fritter or fried puff, without syrup, Puerto Rican style",6.46,50.21,23.75,0.6,33.95,17.67,587,25,1.61,73,126,440.43
Alcoholic malt beverage,0.9,0.27,0.0,0.0,0.0,91.0,4,8,0.03,62,0,4.68
"Alcoholic malt beverage, higher alcohol, sweetened",0.0,8.86,0.0,0.0,8.6,83.44,5,4,0.03,24,0,35.44
"Alcoholic malt beverage, sweetened",0.0,10.07,0.0,0.0,9.77,85.74,5,4,0.03,27,0,40.28
Alexander,1.05,18.94,3.83,0.0,15.7,57.77,23,35,0.05,55,11,114.43
"Alfalfa sprouts, raw",3.99,2.1,0.69,1.9,0.2,92.82,6,32,0.96,79,0,30.57
Alfredo sauce,2.37,1.48,15.12,0.0,0.88,79.26,558,67,0.05,39,46,151.48
Alfredo sauce with added vegetables,2.28,2.32,11.64,0.3,1.43,82.25,428,54,0.16,97,35,123.16
Alfredo sauce with meat,6.72,1.2,15.44,0.0,0.72,74.96,528,59,0.51,88,54,170.64
Alfredo sauce with meat and added vegetables,6.64,1.88,12.61,0.3,1.16,77.39,422,49,0.59,135,45,147.57
Alfredo sauce with poultry,7.1,1.2,13.59,0.0,0.72,76.53,522,59,0.23,85,54,155.51
Alfredo sauce with poultry and added vegetables,7.03,1.88,10.76,0.3,1.16,78.95,416,48,0.32,133,45,132.48
Alfredo sauce with seafood,6.11,1.76,12.56,0.0,0.72,77.63,545,74,0.49,98,66,144.52
Alfredo sauce with seafood and added vegetables,6.04,2.43,9.74,0.3,1.16,80.05,440,64,0.58,145,57,121.54
Almond butter,20.96,18.82,55.5,10.3,6.27,1.64,227,347,3.49,748,0,658.62
"Almond butter, lower sodium",20.96,18.82,55.5,10.3,6.27,1.64,115,347,3.49,748,0,658.62
Almond chicken,16.07,4.69,13.3,1.2,1.44,64.65,335,36,0.87,260,57,202.74
"Almond milk, sweetened",0.38,5.24,0.93,0.2,4.77,92.68,69,177,0.27,64,0,30.85
